2026-03-24 19:20:19 | INFO     | config | CONFIG_LOADED | Source: /workspaces/Prj_utils/Financial_Insight/.env
2026-03-24 19:20:19 | INFO     | config | Configuration initialization complete
2026-03-24 19:20:19 | INFO     | financial_insight | DataStore ready  db=data/prices.db
2026-03-24 19:20:19 | INFO     | financial_insight | Tools loaded: ['gold_price', 'stock_price']
2026-03-25 18:43:06 | INFO     | config | CONFIG_LOADED | Source: /workspaces/Prj_utils/Financial_Insight/.env
2026-03-25 18:43:06 | INFO     | config | Configuration initialization complete
2026-03-25 18:43:06 | INFO     | financial_insight | DataStore ready  db=data/prices.db
2026-03-25 18:43:06 | INFO     | financial_insight | Tools loaded: ['gold_price', 'stock_price', 'financial_news', 'data_aggregator']
2026-03-25 19:09:57 | INFO     | config | CONFIG_LOADED | Source: /workspaces/Prj_utils/Financial_Insight/.env
2026-03-25 19:09:57 | INFO     | config | Configuration initialization complete
2026-03-25 19:09:57 | INFO     | financial_insight | DataStore ready  db=data/prices.db
2026-03-25 19:09:57 | INFO     | financial_insight | Tools loaded: ['gold_price', 'stock_price', 'financial_news', 'data_aggregator', 'llm_insight']
2026-03-27 18:54:57 | INFO     | apscheduler.scheduler | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-03-27 18:54:57 | INFO     | apscheduler.scheduler | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-03-27 18:54:57 | INFO     | apscheduler.scheduler | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-03-27 18:55:00 | INFO     | scheduler | Price refresh started for 4 assets
2026-03-27 18:55:01 | INFO     | scheduler | Price updated: GC=F $4555.4
2026-03-27 18:55:02 | INFO     | scheduler | Price updated: AAPL $248.75
2026-03-27 18:55:03 | INFO     | scheduler | Price updated: MSFT $357.8
2026-03-27 18:55:04 | INFO     | scheduler | Price updated: SPY $635.36
2026-03-27 18:55:04 | INFO     | scheduler | News refresh started for 4 assets
2026-03-27 18:55:08 | INFO     | scheduler | News updated: GC=F (5 articles)
2026-03-27 18:55:12 | INFO     | scheduler | News updated: AAPL (5 articles)
2026-03-27 18:55:23 | INFO     | scheduler | News updated: MSFT (5 articles)
2026-03-27 18:55:26 | INFO     | scheduler | News updated: SPY (5 articles)
2026-03-27 18:56:18 | INFO     | apscheduler.scheduler | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-03-27 18:56:18 | INFO     | apscheduler.scheduler | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-03-27 18:56:18 | INFO     | apscheduler.scheduler | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-03-27 18:56:18 | INFO     | apscheduler.scheduler | Added job "Price refresh" to job store "default"
2026-03-27 18:56:18 | INFO     | apscheduler.scheduler | Added job "News refresh" to job store "default"
2026-03-27 18:56:18 | INFO     | apscheduler.scheduler | Added job "Insight refresh" to job store "default"
2026-03-27 18:56:18 | INFO     | apscheduler.scheduler | Scheduler started
2026-03-27 18:56:18 | INFO     | scheduler | Scheduler started  price=5m  news=15m  insight=60m  market_hours_only=True
2026-03-27 18:56:18 | INFO     | scheduler | Scheduler stopped
2026-03-27 18:56:18 | INFO     | apscheduler.scheduler | Scheduler has been shut down
2026-03-27 18:56:18 | INFO     | scheduler | Price refresh started for 4 assets
2026-03-27 18:56:20 | INFO     | scheduler | Price updated: GC=F $4552.5
2026-03-27 18:56:21 | INFO     | scheduler | Price updated: AAPL $248.73
2026-03-27 18:56:21 | INFO     | scheduler | Price updated: MSFT $357.88
2026-03-27 18:56:22 | INFO     | scheduler | Price updated: SPY $635.35
2026-03-27 18:56:22 | INFO     | scheduler | News refresh started for 4 assets
2026-03-27 18:56:25 | INFO     | scheduler | News updated: GC=F (5 articles)
2026-03-27 18:56:32 | INFO     | scheduler | News updated: AAPL (5 articles)
2026-03-27 18:56:35 | INFO     | scheduler | News updated: MSFT (5 articles)
2026-03-27 18:56:40 | INFO     | scheduler | News updated: SPY (5 articles)
2026-03-27 18:57:02 | INFO     | apscheduler.scheduler | Adding job tentatively -- it will be properly scheduled when the scheduler starts
